product-link href,media-image__image src,product-link,money-amount__main,product-grid-product-info-colors__text
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p04806406.html,https://static.zara.net/assets/public/55bd/d184/dbac4d0fb934/9fbf491bc9f0/04806406406-e1/04806406406-e1.jpg?ts=1741339483789&w=289,BAGGY FIT DENIM BERMUDA SHORTS,39.95 EUR,4
https://www.zara.com/de/en/regular-seersucker-swimming-trunks-p08574405.html,https://static.zara.net/assets/public/6f9a/798d/ef284eca9dd1/d6f5c001921e/08574405403-e1/08574405403-e1.jpg?ts=1732790499529&w=289,REGULAR SEERSUCKER SWIMMING TRUNKS,29.95 EUR,5
https://www.zara.com/de/en/basic-long-swimming-trunks-p08574424.html,https://static.zara.net/assets/public/3631/52f5/a6114fb38a38/4d1af29b2928/08574424800-e1/08574424800-e1.jpg?ts=1741351798610&w=289,BASIC LONG SWIMMING TRUNKS,25.95 EUR,1
https://www.zara.com/de/en/regular-seersucker-swimming-trunks-p08574405.html,https://static.zara.net/assets/public/c252/e013/d6e14de4992d/0570845350c2/08574405506-e1/08574405506-e1.jpg?ts=1737708190939&w=289,REGULAR SEERSUCKER SWIMMING TRUNKS,29.95 EUR,5
https://www.zara.com/de/en/textured-polo-shirt-p04092400.html,https://static.zara.net/assets/public/17d4/99d0/1770447a9ce4/259f915b1894/04092400526-e1/04092400526-e1.jpg?ts=1735901731320&w=289,TEXTURED POLO SHIRT,25.95 EUR,5
https://www.zara.com/de/en/textured-knit-polo-shirt-p03332405.html,https://static.zara.net/assets/public/c239/fec2/bfc54bad8259/1ba09d079725/03332405620-e1/03332405620-e1.jpg?ts=1739892774065&w=289,TEXTURED KNIT POLO SHIRT,39.95 EUR,3
https://www.zara.com/de/en/contrast-relaxed-fit-jacket-p03286407.html,https://static.zara.net/assets/public/788e/7123/46b44da5a006/74ff6d10ab24/03286407832-e1/03286407832-e1.jpg?ts=1741163652298&w=289,CONTRAST RELAXED FIT JACKET,69.95 EUR,
https://www.zara.com/de/en/textured-knit-polo-shirt-p03332405.html,https://static.zara.net/assets/public/cc59/fa5d/be174cb3a6db/4394eb297592/03332405712-e1/03332405712-e1.jpg?ts=1739892774320&w=289,TEXTURED KNIT POLO SHIRT,39.95 EUR,3
https://www.zara.com/de/en/linen-trousers-p04410010.html,https://static.zara.net/assets/public/8cf5/2916/21814b48abfd/4ce22c2c3393/05070211711-e1/05070211711-e1.jpg?ts=1740672434795&w=289,LINEN TROUSERS,49.95 EUR,5
https://www.zara.com/de/en/slim-fit-jeans-p00774340.html,https://static.zara.net/assets/public/e933/f637/91d8443d98c5/ba008afb94ab/04806450436-e1/04806450436-e1.jpg?ts=1740673267403&w=289,SLIM FIT JEANS,29.95 EUR,9
https://www.zara.com/de/en/slim-fit-jeans-p00774340.html,https://static.zara.net/assets/public/35b7/0c99/f4e3466eb7af/ff67a1208805/00774452712-e1/00774452712-e1.jpg?ts=1740673302625&w=289,SLIM FIT JEANS,29.95 EUR,9
https://www.zara.com/de/en/100-linen-trousers-p04410010.html,https://static.zara.net/assets/public/0b12/8133/a13740d890c2/6d089b8d3f59/05070210731-e1/05070210731-e1.jpg?ts=1740743893253&w=289,100% LINEN TROUSERS,49.95 EUR,5
https://www.zara.com/de/en/knit-cotton---silk-polo-shirt-p00077412.html,https://static.zara.net/assets/public/5ff3/e887/d7824daba230/428fc83301cb/00077412707-e1/00077412707-e1.jpg?ts=1740672899057&w=289,KNIT COTTON - SILK POLO SHIRT,45.95 EUR,3
https://www.zara.com/de/en/relaxed-straight-leg-jeans-p03991477.html,https://static.zara.net/assets/public/18d0/4544/75f54e4aac38/b9ad0db99b0d/03991477400-e1/03991477400-e1.jpg?ts=1740672285470&w=289,RELAXED STRAIGHT-LEG JEANS,49.95 EUR,2
https://www.zara.com/de/en/relaxed-fit-pleated-trousers-p06861554.html,https://static.zara.net/assets/public/da95/7361/ea604add9ba7/c6765a172ab4/06861554707-e1/06861554707-e1.jpg?ts=1740486544686&w=289,RELAXED FIT PLEATED TROUSERS,49.95 EUR,2
https://www.zara.com/de/en/slim-fit-tapered-jeans-p04060475.html,https://static.zara.net/assets/public/8282/a4c0/a14a4d8385f7/c58da93fcaaf/04060475400-e1/04060475400-e1.jpg?ts=1740473055881&w=289,SLIM FIT TAPERED JEANS,39.95 EUR,3
https://www.zara.com/de/en/boxy-fit-overshirt-p07484553.html,https://static.zara.net/assets/public/008c/7e2c/2efd4184b1a6/f60343114e34/06861553707-e1/06861553707-e1.jpg?ts=1740486551096&w=289,BOXY FIT OVERSHIRT,59.95 EUR,2
https://www.zara.com/de/en/slim-fit-tapered-jeans-p04060475.html,https://static.zara.net/assets/public/cd6f/4183/97cf4ce1a6ff/e3e0cd81ef9b/04060475802-e1/04060475802-e1.jpg?ts=1740472947619&w=289,SLIM FIT TAPERED JEANS,39.95 EUR,3
https://www.zara.com/de/en/comfort-bermuda-shorts-p02634551.html,https://static.zara.net/assets/public/a4a3/057c/4ccd41ee93ac/a10712df2d53/00347873711-e1/00347873711-e1.jpg?ts=1737647643805&w=289,COMFORT BERMUDA SHORTS,25.95 EUR,4
https://www.zara.com/de/en/washed-relaxed-fit-sweatshirt-p00962421.html,https://static.zara.net/assets/public/c47d/8b13/2caa4b049684/8eccc581a1dd/00962421898-e1/00962421898-e1.jpg?ts=1736411412501&w=289,WASHED RELAXED FIT SWEATSHIRT,29.95 EUR,3
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,https://static.zara.net/assets/public/ebd6/bfbf/b4e74e8b8c67/f1510b88b2ff/03090475052-e1/03090475052-e1.jpg?ts=1731342865687&w=289,100% LINEN SHIRT,45.95 EUR,6
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,https://static.zara.net/assets/public/3556/f6a2/6a4e48c9b65b/b91c9a051251/03090010250-000-e1/03090010250-000-e1.jpg?ts=1737534767121&w=289,100% LINEN SHIRT,45.95 EUR,6
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,https://static.zara.net/assets/public/97a1/57ad/8d3948d3a4a0/af6829a752c1/03090475403-e1/03090475403-e1.jpg?ts=1731342864977&w=289,100% LINEN SHIRT,45.95 EUR,6
https://www.zara.com/de/en/100-linen-shirt-p03090010.html,https://static.zara.net/assets/public/9f94/b19d/03024644b5cd/099d7506e4ef/03090010401-e1/03090010401-e1.jpg?ts=1739459890474&w=289,100% LINEN SHIRT,45.95 EUR,6
